id,season_id,category,sub_type,group_key,position,active,prize,winner_id,created_at,updated_at,sequence
09526862-8eab-467e-befb-e8adffc93721,27404307-72b4-4518-a32c-ce15384915d9,league_position,,league,3,true,100.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:08.06501+00,
12f3f2d1-0fe1-4fe9-99c4-2874316cd2bf,27404307-72b4-4518-a32c-ce15384915d9,league_position,,league,2,true,250.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:07.867821+00,
1be7dabb-de29-4824-ab36-90adaa936a76,27404307-72b4-4518-a32c-ce15384915d9,motm,,March 2026,,true,50.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:10.156476+00,8
26bf33cb-db96-42e1-82ab-dacf15dbe145,27404307-72b4-4518-a32c-ce15384915d9,motm,,September 2025,,true,50.00,6bf245f8-9743-4b7b-ab78-dc0cdd591c6c,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:09.239618+00,2
27a616af-198a-40d9-bd03-b54f3d01f627,27404307-72b4-4518-a32c-ce15384915d9,league_position,,league,5,true,75.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:08.364869+00,
338b1840-8b8a-490d-a389-950423c0fb01,27404307-72b4-4518-a32c-ce15384915d9,motm,,August 2025,,true,50.00,857f0ddb-bbf7-490f-89e7-c393913d1937,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:09.097827+00,1
3edc3e58-4b6a-45cf-a473-2b2dc9975985,27404307-72b4-4518-a32c-ce15384915d9,motm,,January 2026,,true,50.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:09.862494+00,6
4c5a0546-61de-41c7-9c7e-5b82b1448f75,27404307-72b4-4518-a32c-ce15384915d9,league_position,,league,4,true,90.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:08.206693+00,
69e49e7e-f6da-437c-9b80-d68c7cfc6a24,27404307-72b4-4518-a32c-ce15384915d9,league_position,,league,1,true,500.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:07.657239+00,
77cbd2dd-1050-475c-9ea1-055df6cdd11c,27404307-72b4-4518-a32c-ce15384915d9,special,,Highest Scoring Correct Score,,true,50.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:10.658813+00,
7cf39fed-2821-433e-9ae6-710664e4936a,27404307-72b4-4518-a32c-ce15384915d9,cup,runner_up,The George Cup,,true,75.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:08.941727+00,
815f5b55-83c0-41b0-b9a6-7e8ab215b182,27404307-72b4-4518-a32c-ce15384915d9,cup,winner,The Lavery Cup,,true,200.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:08.653031+00,
8b9d880c-d2c1-4950-832c-3bbddc68bea1,27404307-72b4-4518-a32c-ce15384915d9,league_position,,league,6,true,55.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:08.505879+00,
a369fd32-3380-4770-b86b-24104ddd2b22,27404307-72b4-4518-a32c-ce15384915d9,motm,,November 2025,,true,50.00,3d18f1c8-de23-4c6d-b843-8241da5d994e,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:09.565487+00,4
a4453957-ed4c-4590-a907-03620a666230,27404307-72b4-4518-a32c-ce15384915d9,special,,Highest Scoring Game Week,,true,50.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:10.82798+00,
a6390323-91f3-4f48-a94c-16e821aadc31,27404307-72b4-4518-a32c-ce15384915d9,motm,,October 2025,,true,50.00,c8b7ea0d-f644-44ff-b89b-a0e352ff3cec,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:09.408659+00,3
b72e2be5-34d0-4aaf-9ee2-2c8593631460,27404307-72b4-4518-a32c-ce15384915d9,motm,,December 2025,,true,50.00,c8b7ea0d-f644-44ff-b89b-a0e352ff3cec,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:09.705105+00,5
beda18d5-cf65-41d1-a236-56eaeb78e234,27404307-72b4-4518-a32c-ce15384915d9,cup,winner,The George Cup,,true,200.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:08.77902+00,
cfe727c2-2cd0-413c-a851-53c471dbc31c,27404307-72b4-4518-a32c-ce15384915d9,motm,,February 2026,,true,50.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:10.021147+00,7
d31bc20d-ab30-47c1-b4a0-561490c5776a,27404307-72b4-4518-a32c-ce15384915d9,motm,,May 2026,,true,50.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:10.473918+00,10
e8a0425d-855e-4b1c-93c2-b58965f0a04f,27404307-72b4-4518-a32c-ce15384915d9,motm,,April 2026,,true,50.00,,2025-09-11 13:59:59.991081+00,2025-12-30 13:59:10.30586+00,9
