id,season_id,week_number,predictions_open,predictions_close,live_start,live_end,created_at
00c76044-16a0-4acf-a0a5-8de00e9cbc06,27404307-72b4-4518-a32c-ce15384915d9,15,2025-12-08 02:20:00+00,2025-12-12 23:59:00+00,2025-12-13 14:00:00+00,2025-12-15 23:00:00+00,2025-12-09 02:25:53.421211+00
12df5536-e3fd-44e8-a289-169153a0f1df,27404307-72b4-4518-a32c-ce15384915d9,25,2026-02-16 01:13:00+00,2026-02-19 23:59:00+00,2026-02-20 19:22:00+00,2026-02-22 23:27:00+00,2026-02-17 01:18:47.734607+00
284571ab-f355-476f-841c-8d84cf3fc188,27404307-72b4-4518-a32c-ce15384915d9,4,2025-08-31 13:33:00+00,2025-09-11 22:59:00+00,2025-09-12 01:34:00+00,2025-09-14 19:34:00+00,2025-09-01 12:37:34.330303+00
28c25bca-56fb-487b-b335-f02e00863c6b,27404307-72b4-4518-a32c-ce15384915d9,2,2025-08-18 01:00:00+00,2025-08-21 22:59:00+00,2025-08-22 01:00:00+00,2025-08-25 23:30:00+00,2025-08-18 23:36:48.84523+00
28da2862-f00a-44dd-8ab5-a48849d53245,27404307-72b4-4518-a32c-ce15384915d9,10,2025-10-26 04:12:00+00,2025-10-30 23:59:00+00,2025-10-31 02:12:00+00,2025-11-03 23:15:00+00,2025-10-27 02:20:06.70735+00
3715512f-bc25-48aa-a319-f9b2ffc2fb15,27404307-72b4-4518-a32c-ce15384915d9,9,2025-10-20 01:19:00+00,2025-10-23 22:59:00+00,2025-10-24 00:19:00+00,2025-10-26 19:30:00+00,2025-10-21 00:26:03.06056+00
37bc4415-6386-4c1c-9a8b-453802fa72e1,27404307-72b4-4518-a32c-ce15384915d9,17,2025-12-17 16:42:00+00,2025-12-25 23:59:00+00,2025-12-26 18:42:00+00,2025-12-28 20:43:00+00,2025-12-18 14:46:26.464863+00
39344544-7804-4c1d-a17b-a1aff7a7f869,27404307-72b4-4518-a32c-ce15384915d9,11,2025-11-03 02:45:00+00,2025-11-07 23:59:00+00,2025-11-08 07:45:00+00,2025-11-09 22:47:00+00,2025-11-04 02:49:14.346337+00
3d3498a4-2cb9-46cc-a1c2-2cb731ca4d02,27404307-72b4-4518-a32c-ce15384915d9,23,2026-02-02 01:55:00+00,2026-02-05 23:59:00+00,2026-02-06 19:56:00+00,2026-02-08 19:56:00+00,2026-02-03 02:00:20.599572+00
3ea490f3-3471-4c91-b539-2dde6cbff1da,27404307-72b4-4518-a32c-ce15384915d9,26,2026-02-22 22:47:00+00,2026-02-26 23:59:00+00,2026-02-27 19:00:00+00,2026-03-01 20:00:00+00,2026-02-23 22:52:19.100576+00
